eeg-P3,eeg-C3,eeg-F3,eeg-Fz,eeg-F4,eeg-C4,eeg-P4,eeg-Cz,eeg-CM,eeg-A1,eeg-Fp1,eeg-Fp2,eeg-T3,eeg-T5,eeg-O1,eeg-O2,eeg-F7,eeg-F8,eeg-X1:ECG,eeg-A2,eeg-T6,eeg-T4,eeg-TRG,timestamp
-7203.89990234375,-5978.275390625,-6561.8740234375,-6476.955078125,8971.130859375,7045.86376953125,6342.4150390625,-3716.680419921875,22622.912109375,-5713.35986328125,-8507.2158203125,-7935.8466796875,-7297.0224609375,-6457.880859375,-8387.060546875,3196.18701171875,-7999.87939453125,8763.96875,-6.599999904632568,5040.14013671875,6617.84814453125,7178.4833984375,0.0,2025-06-10T20:24:32.653341
-9830.400390625,-9837.599609375,-9816.0,-9864.599609375,9834.2998046875,9847.7998046875,9834.0,-6188.763671875,25833.423828125,-9825.0,-9795.2998046875,-9791.099609375,-9856.5,-9850.2001953125,-9838.7998046875,9819.0,-9841.2001953125,9821.1005859375,-6.900000095367432,9855.599609375,9866.9990234375,9847.4990234375,0.0,2025-06-10T20:24:32.656674
-7909.2001953125,-8615.4052734375,-8295.4306640625,-9087.00390625,4802.951171875,7401.10205078125,7444.75244140625,-4172.67236328125,4255.79541015625,-4651.943359375,-7319.2724609375,-4436.59228515625,-7367.10791015625,-8227.2373046875,-4166.95751953125,8231.39453125,-7317.5302734375,8167.2158203125,-7.199999809265137,2711.214599609375,7994.89794921875,7776.8408203125,0.0,2025-06-10T20:24:32.660008
8621.400390625,7567.0380859375,8119.5888671875,6968.5595703125,-9834.599609375,-9185.1083984375,-8901.2294921875,4712.11767578125,-36734.234375,9824.7001953125,9795.0009765625,9790.80078125,9301.2294921875,8055.5927734375,9838.5,-7379.158203125,9626.7646484375,-9262.7119140625,-7.5,-9855.900390625,-8564.3271484375,-8938.3935546875,0.0,2025-06-10T20:24:32.663341
9643.7998046875,9837.2998046875,9815.7001953125,9864.298828125,-6694.6591796875,-9575.509765625,-9834.2998046875,9590.8427734375,-22772.23828125,9634.3046875,8203.205078125,7924.4921875,9429.669921875,9849.8994140625,7735.8046875,-9819.2998046875,8798.1552734375,-8349.44921875,-6.900000095367432,-9709.4208984375,-9867.2998046875,-9665.978515625,0.0,2025-06-10T20:24:32.666674
-7226.7001953125,-5949.154296875,-6534.9130859375,-6448.9580078125,8960.0263671875,7037.4482421875,6367.3251953125,-3778.820068359375,22921.564453125,-5685.17529296875,-8498.546875,-7950.78662109375,-7272.658203125,-6428.12109375,-8385.859375,3247.728759765625,-7991.169921875,8745.3857421875,-7.199999809265137,5011.265625,6607.9111328125,7153.83984375,0.0,2025-06-10T20:24:32.670008
-9830.400390625,-9837.599609375,-9816.0,-9864.599609375,9834.2998046875,9847.7998046875,9834.0,-6206.47509765625,26132.076171875,-9825.0,-9795.2998046875,-9791.099609375,-9856.5,-9850.2001953125,-9838.7998046875,9819.0,-9841.2001953125,9821.1005859375,-6.300000190734863,9855.599609375,9866.9990234375,9847.4990234375,0.0,2025-06-10T20:24:32.673341
-7916.7001953125,-8613.6044921875,-8303.818359375,-9083.3916015625,4890.58837890625,7437.76806640625,7459.75830078125,-4094.622314453125,4479.78466796875,-4682.5263671875,-7329.13720703125,-4450.6357421875,-7389.66796875,-8229.341796875,-4144.73876953125,8250.5732421875,-7343.35888671875,8188.19677734375,-6.900000095367432,2745.80419921875,8016.8798828125,7798.77978515625,0.0,2025-06-10T20:24:32.676674
8596.2001953125,7564.63623046875,8103.412109375,6961.6357421875,-9834.599609375,-9150.8466796875,-8887.724609375,4672.79296875,-36360.91796875,9824.7001953125,9788.7236328125,9790.80078125,9275.662109375,8031.54443359375,9838.5,-7371.3671875,9603.3388671875,-9234.837890625,-7.199999809265137,-9855.900390625,-8536.9248046875,-8912.5478515625,0.0,2025-06-10T20:24:32.680008
9690.0,9837.2998046875,9815.7001953125,9864.298828125,-6707.564453125,-9592.0400390625,-9834.2998046875,9634.0703125,-22473.5859375,9649.896484375,8230.7060546875,7963.03759765625,9454.0341796875,9849.8994140625,7779.341796875,-9819.2998046875,8823.9833984375,-8378.822265625,-7.199999809265137,-9721.7529296875,-9867.2998046875,-9687.91796875,0.0,2025-06-10T20:24:32.683341
-7155.60009765625,-5916.1298828125,-6505.85595703125,-6383.33056640625,8945.6201171875,7024.525390625,6321.70703125,-3708.87548828125,22921.564453125,-5652.193359375,-8477.9208984375,-7920.01025390625,-7246.48876953125,-6384.53369140625,-8357.6357421875,3212.968017578125,-7967.44384765625,8723.505859375,-6.300000190734863,4976.37548828125,6579.30419921875,7124.38818359375,0.0,2025-06-10T20:24:32.686674
-9830.400390625,-9837.599609375,-9816.0,-9864.599609375,9834.2998046875,9847.7998046875,9834.0,-6191.765625,26057.4140625,-9825.0,-9795.2998046875,-9791.099609375,-9856.5,-9850.2001953125,-9838.7998046875,9819.0,-9841.2001953125,9821.1005859375,-6.900000095367432,9855.599609375,9866.9990234375,9847.4990234375,0.0,2025-06-10T20:24:32.690008
-7933.7998046875,-8636.12109375,-8319.095703125,-9093.025390625,4870.47998046875,7434.7626953125,7466.36083984375,-4107.8310546875,4330.45849609375,-4693.6201171875,-7341.09423828125,-4485.595703125,-7401.09814453125,-8229.041015625,-4216.19970703125,8268.2529296875,-7354.47119140625,8185.798828125,-7.199999809265137,2758.737548828125,8024.10693359375,7794.87255859375,0.0,2025-06-10T20:24:32.693341
8574.0,7520.50390625,8075.25390625,6930.02587890625,-9834.599609375,-9150.24609375,-8873.3193359375,4702.51171875,-36510.24609375,9824.7001953125,9778.5595703125,9790.80078125,9266.9384765625,8035.7529296875,9834.2958984375,-7345.89599609375,9594.3291015625,-9235.736328125,-6.900000095367432,-9855.900390625,-8523.67578125,-8913.1484375,0.0,2025-06-10T20:24:32.696674
9680.7001953125,9837.2998046875,9815.7001953125,9864.298828125,-6709.0654296875,-9585.126953125,-9834.2998046875,9609.7548828125,-22622.912109375,9639.7021484375,8233.9951171875,7961.84228515625,9448.0185546875,9849.8994140625,7782.0439453125,-9819.2998046875,8817.6767578125,-8367.732421875,-7.199999809265137,-9718.1435546875,-9867.2998046875,-9673.4921875,0.0,2025-06-10T20:24:32.700008
-7186.2001953125,-5936.84521484375,-6523.23046875,-6401.09228515625,8946.220703125,7040.45361328125,6325.6083984375,-3669.850341796875,22921.564453125,-5684.87548828125,-8480.0126953125,-7915.8271484375,-7261.8291015625,-6396.8583984375,-8357.6357421875,3234.243896484375,-7983.06103515625,8735.4951171875,-6.900000095367432,4993.8203125,6597.6728515625,7156.84521484375,0.0,2025-06-10T20:24:32.703341
-9830.400390625,-9837.599609375,-9816.0,-9864.599609375,9834.2998046875,9847.7998046875,9834.0,-6204.97412109375,26057.4140625,-9825.0,-9795.2998046875,-9791.099609375,-9856.5,-9850.2001953125,-9838.7998046875,9819.0,-9841.2001953125,9821.1005859375,-7.199999809265137,9855.599609375,9866.9990234375,9847.4990234375,0.0,2025-06-10T20:24:32.706674
-7904.39990234375,-8620.208984375,-8299.3251953125,-9071.048828125,4844.36865234375,7435.36376953125,7490.970703125,-4089.519287109375,4405.12158203125,-4677.42919921875,-7353.05126953125,-4462.88671875,-7400.19580078125,-8218.2197265625,-4170.26025390625,8281.138671875,-7367.98583984375,8185.19921875,-6.900000095367432,2758.135986328125,8025.3115234375,7810.19970703125,0.0,2025-06-10T20:24:32.710008
8610.0,7548.4248046875,8098.31982421875,6973.978515625,-9834.599609375,-9146.3388671875,-8848.4091796875,4695.607421875,-36435.58203125,9824.7001953125,9764.5107421875,9790.80078125,9262.4267578125,8047.17578125,9838.5,-7332.11181640625,9580.814453125,-9231.541015625,-7.5,-9855.900390625,-8520.96484375,-8900.5263671875,0.0,2025-06-10T20:24:32.713341
9682.7998046875,9837.2998046875,9815.7001953125,9864.298828125,-6742.0791015625,-9598.9521484375,-9834.2998046875,9610.0546875,-22622.912109375,9657.6923828125,8251.3330078125,7969.91015625,9460.9521484375,9849.8994140625,7772.43603515625,-9819.2998046875,8833.89453125,-8383.3173828125,-6.900000095367432,-9730.1748046875,-9867.2998046875,-9687.6171875,0.0,2025-06-10T20:24:32.716674
-7176.60009765625,-5941.3486328125,-6512.146484375,-6384.8359375,8935.1162109375,7033.24072265625,6317.50537109375,-3788.126220703125,22921.564453125,-5661.48828125,-8473.7353515625,-7929.57177734375,-7253.1064453125,-6422.71044921875,-8350.12890625,3202.18017578125,-7976.1533203125,8730.099609375,-6.599999904632568,4986.30078125,6588.03662109375,7148.4306640625,0.0,2025-06-10T20:24:32.720008
-9830.400390625,-9837.599609375,-9816.0,-9864.599609375,9834.2998046875,9847.7998046875,9834.0,-6197.1689453125,26057.4140625,-9825.0,-9795.2998046875,-9791.099609375,-9856.5,-9850.2001953125,-9838.7998046875,9819.0,-9841.2001953125,9821.1005859375,-6.599999904632568,9855.599609375,9866.9990234375,9847.4990234375,0.0,2025-06-10T20:24:32.723341
-7978.5,-8671.24609375,-8332.2763671875,-9105.06640625,4893.28955078125,7462.11181640625,7516.1806640625,-4070.006591796875,4479.78466796875,-4728.701171875,-7377.5634765625,-4571.94873046875,-7426.064453125,-8274.4326171875,-4192.17919921875,8309.90625,-7393.21337890625,8220.5673828125,-7.199999809265137,2816.186279296875,8049.70263671875,7834.54296875,0.0,2025-06-10T20:24:32.726674
8540.400390625,7478.7734375,8057.57958984375,6913.76953125,-9834.599609375,-9120.4921875,-8821.9990234375,4640.97216796875,-36286.25390625,9824.7001953125,9737.0087890625,9790.80078125,9236.55859375,7981.34326171875,9830.0927734375,-7289.859375,9553.7841796875,-9190.478515625,-6.900000095367432,-9855.900390625,-8493.26171875,-8872.876953125,0.0,2025-06-10T20:24:32.730008
9723.599609375,9837.2998046875,9815.7001953125,9864.298828125,-6788.59912109375,-9639.224609375,-9834.2998046875,9600.7490234375,-22622.912109375,9681.0791015625,8292.8837890625,7999.4912109375,9494.0400390625,9849.8994140625,7806.96533203125,-9819.2998046875,8872.0361328125,-8428.8759765625,-6.900000095367432,-9747.9208984375,-9867.2998046875,-9720.67578125,0.0,2025-06-10T20:24:32.733341
-7137.60009765625,-5899.3173828125,-6470.2080078125,-6358.64501953125,8912.3056640625,6979.74462890625,6257.78173828125,-3707.974853515625,22846.90234375,-5613.814453125,-8443.5439453125,-7879.07470703125,-7215.8076171875,-6381.22705078125,-8337.5185546875,3216.863525390625,-7941.91552734375,8701.92578125,-6.900000095367432,4934.86767578125,6528.11279296875,7110.5634765625,0.0,2025-06-10T20:24:32.736674
-9830.400390625,-9837.599609375,-9816.0,-9864.599609375,9834.2998046875,9847.7998046875,9834.0,-6244.599609375,26281.40234375,-9825.0,-9795.2998046875,-9791.099609375,-9856.5,-9850.2001953125,-9838.7998046875,9819.0,-9841.2001953125,9821.1005859375,-7.199999809265137,9855.599609375,9866.9990234375,9847.4990234375,0.0,2025-06-10T20:24:32.740008
-7974.0,-8669.7451171875,-8361.93359375,-9112.5927734375,4957.21728515625,7494.87060546875,7535.38818359375,-4028.88037109375,4703.77392578125,-4737.99609375,-7401.17919921875,-4468.26513671875,-7461.55810546875,-8275.935546875,-4214.39794921875,8362.9462890625,-7415.1376953125,8252.337890625,-6.900000095367432,2827.014404296875,8066.56591796875,7867.0,0.0,2025-06-10T20:24:32.743341
8537.400390625,7476.671875,8017.73828125,6899.0185546875,-9834.599609375,-9083.826171875,-8796.1884765625,4636.16943359375,-36136.9296875,9824.7001953125,9713.9912109375,9790.80078125,9200.763671875,7982.5458984375,9808.173828125,-7225.43212890625,9527.65625,-9150.015625,-7.199999809265137,-9855.900390625,-8463.7509765625,-8833.20703125,0.0,2025-06-10T20:24:32.746674
9729.599609375,9837.2998046875,9815.7001953125,9864.298828125,-6827.31591796875,-9663.568359375,-9834.2998046875,9586.9404296875,-22772.23828125,9699.6689453125,8310.5205078125,8028.17626953125,9520.5107421875,9849.8994140625,7809.9677734375,-9819.2998046875,8899.06640625,-8462.1455078125,-7.199999809265137,-9763.5615234375,-9867.2998046875,-9754.3349609375,0.0,2025-06-10T20:24:32.750008
-7145.10009765625,-5867.79443359375,-6460.32275390625,-6385.43798828125,8876.890625,6950.2919921875,6225.06884765625,-3829.25244140625,22697.576171875,-5587.12939453125,-8434.576171875,-7866.22607421875,-7191.14208984375,-6371.908203125,-8339.01953125,3085.312255859375,-7918.79052734375,8682.1435546875,-6.900000095367432,4904.7900390625,6499.806640625,7067.88818359375,0.0,2025-06-10T20:24:32.753341
-9830.400390625,-9837.599609375,-9816.0,-9864.599609375,9834.2998046875,9847.7998046875,9834.0,-6332.5556640625,26206.740234375,-9825.0,-9795.2998046875,-9791.099609375,-9856.5,-9850.2001953125,-9838.7998046875,9819.0,-9841.2001953125,9821.1005859375,-6.900000095367432,9855.599609375,9866.9990234375,9847.4990234375,0.0,2025-06-10T20:24:32.756674
-8017.7998046875,-8705.1708984375,-8382.302734375,-9161.060546875,4930.20556640625,7475.33544921875,7529.0859375,-4203.892578125,4554.44775390625,-4785.9697265625,-7411.04345703125,-4522.04931640625,-7484.1181640625,-8339.9638671875,-4326.69384765625,8308.1083984375,-7424.748046875,8248.7412109375,-7.199999809265137,2861.002197265625,8072.58837890625,7860.98974609375,0.0,2025-06-10T20:24:32.760008
